Wall time,Step,Value
1653924595.1534646,331024,2.390000104904175
1653924595.9405756,331312,2.430000066757202
1653924597.2938123,331848,2.559999942779541
1653924599.6316395,332800,2.569999933242798
1653924610.8053565,337292,2.619999885559082
1653924611.4523447,337536,2.5899999141693115
1653924615.9507742,339368,2.7899999618530273
1653924616.622648,339644,2.7699999809265137
1653924618.2935839,340312,2.6600000858306885
1653924623.8243642,342556,2.5299999713897705
1653924626.918112,343856,2.690000057220459
1653924630.4649866,345272,2.680000066757202
1653924636.9181142,347876,2.690000057220459
1653924638.4962425,348536,2.690000057220459
1653924639.621238,349004,2.700000047683716
1653924645.3992727,351296,2.700000047683716
1653924650.829997,353500,3.180000066757202
1653924656.526082,355860,3.25
1653924656.869835,355984,3.259999990463257
1653924660.604207,357524,3.2100000381469727
1653924662.901081,358432,3.299999952316284
1653924670.1354542,361360,3.2300000190734863
1653924672.0417068,362108,3.2200000286102295
1653924672.479203,362284,3.200000047683716
1653924677.2292066,364240,3.4000000953674316
1653924679.9948282,365352,3.450000047683716
1653924682.3073373,366272,3.3299999237060547
1653924684.3698277,367064,3.4000000953674316
1653924695.9444697,371860,3.75
1653924699.350711,373256,3.819999933242798
1653924702.1186192,374400,3.940000057220459
1653924706.993608,376336,3.640000104904175
1653924710.3998632,377748,3.7899999618530273
1653924717.6342347,380692,3.640000104904175
1653924724.6029942,383564,4.130000114440918
1653924726.1811187,384212,4.090000152587891
1653924733.2123597,387064,4.409999847412109
1653924733.7436078,387288,4.409999847412109
1653924734.5092318,387580,4.440000057220459
1653924750.468484,394040,4.769999980926514
1653924751.030978,394260,4.71999979019165
1653924751.734104,394532,4.730000019073486
1653924756.155918,396316,4.769999980926514
1653924761.218418,398332,4.75
1653924769.499668,401660,4.840000152587891
1653924772.5152938,402916,4.980000019073486
1653924792.827792,411168,5.340000152587891
1653924801.4527917,414628,5.949999809265137
1653924808.1402943,417360,5.900000095367432
1653924814.7184165,420052,6.289999961853027
1653924819.2809181,421920,6.489999771118164
1653924822.327795,423172,6.690000057220459
1653924834.3277903,427960,7.079999923706055
1653924835.7965422,428536,7.159999847412109
1653924836.5152915,428836,7.159999847412109
1653924844.890714,432232,7.28000020980835
1653924859.2194054,437988,8.130000114440918
1653924873.875652,443596,8.640000343322754
1653924879.5944014,445820,9.1899995803833
1653924899.3444002,453128,9.199999809265137
1653924906.813151,456004,9.479999542236328
1653924908.5944011,456700,9.510000228881836
1653924910.3287776,457368,9.529999732971191
1653924913.844401,458772,9.470000267028809
1653924914.5787802,459052,9.470000267028809
1653924924.781904,463084,9.84000015258789
